Date,Close_QQQ,Close_SOXX,Close_SPY,High_QQQ,High_SOXX,High_SPY,Low_QQQ,Low_SOXX,Low_SPY,Open_QQQ,Open_SOXX,Open_SPY,Volume_QQQ,Volume_SOXX,Volume_SPY
2015-01-02,94.78440856933594,27.559070587158203,170.58958435058594,95.94457790388628,27.861950285210114,171.79367814662248,94.32402190564177,27.300733020648387,169.55158119602822,95.53944241679665,27.704572051681406,171.37847688479937,31314600,663000,121465900
2015-01-05,93.3940658569336,27.0394287109375,167.50880432128906,94.48057897811283,27.493748341987526,169.70936602252135,93.12704067186169,27.030520282982533,167.2015594307986,94.37008361792773,27.443269515721234,169.5432880457951,36521300,619500,169632600
2015-01-06,92.1418228149414,26.436641693115234,165.93104553222656,93.68872289409231,27.083973358541567,168.33920788655956,91.72747746470013,26.35943757583535,165.13385349984176,93.53219305288523,27.057248072202043,167.81605021934024,66205500,1123800,209151400
2015-01-07,93.32962036132812,26.69794464111328,167.998779296875,93.55060407658328,26.81672083860699,168.33924746737,92.52854473422794,26.430698621529633,166.8113094395579,92.74953547442874,26.5880768708202,167.2597213519378,37577400,721200,125346700
2015-01-08,95.11592102050781,27.49077606201172,170.97994995117188,95.30007294085011,27.53531649629939,171.19586281193537,94.02019812711839,26.968159124516276,169.39389006147994,94.1214837907903,26.968159124516276,169.41048899619827,40212600,633000,147217800
2015-01-09,94.48980712890625,27.505624771118164,169.6097412109375,95.43820299125203,27.615492542561384,171.41171344037704,93.93733724506339,27.176019757679732,168.99523868858634,95.41058090204916,27.600645730107843,171.39510183951919,41410100,420900,158567300
2015-01-12,93.50456237792969,26.977062225341797,168.28111267089844,94.7752274235804,27.386841276145528,169.90040817449798,93.26515927369574,26.846409291093135,167.67492220963433,94.67394176505624,27.386841276145528,169.74262962422395,34129800,572400,144396100
2015-01-13,93.47691345214844,26.712793350219727,167.8077850341797,95.41054323227432,27.5056246867465,170.63114924503202,92.72187953726988,26.576198598205092,166.5040466673083,94.4161062639142,27.173049632194,169.50180102650307,56162300,520800,214553300
2015-01-14,92.96128845214844,26.561357498168945,166.79469299316406,93.44009458930128,26.82563351753589,166.99399421006802,92.14180062792491,26.28817135108041,164.89307631509837,92.53773350001727,26.45445805392721,165.78990011381592,51354200,1241700,192991100
2015-01-15,91.75508117675781,26.35051918029785,165.2667236328125,93.54137699946683,26.91470642978819,167.74961921677988,91.64458582717964,26.329733987079333,165.15046777942544,93.39405689164026,26.769204979933335,167.43407485526512,51005400,663000,176613900
2015-01-16,92.83238983154297,26.638561248779297,167.43409729003906,92.95208786509639,26.674193263632006,167.5918758274063,91.48806127992903,26.145639533035663,164.8764555018834,91.63538139622979,26.25847736176907,165.0591451061045,35362200,876900,211879600
2015-01-20,93.56900024414062,26.914710998535156,167.79115295410156,93.80839628248037,27.012701995574357,168.33922172950153,92.34436987323808,26.570260886110145,166.22169249432056,93.39405104117057,26.775149608002383,168.0734868065421,30964100,395400,130991100
2015-01-21,94.04781341552734,27.220561981201172,168.63819885253906,94.48978782732955,27.33933818031812,169.11983398765003,92.9613003041646,26.74842552776832,166.8611374020666,93.29277935678,26.86423338385033,167.3261609336383,40128800,433500,122942700
2015-01-22,95.78807067871094,27.383878707885742,171.14599609375,95.88935633056806,27.40763394778726,171.27885089160938,93.58742247007825,26.69200670858819,168.01537446648058,94.41612006484351,27.196806830827068,169.39384594565314,40887200,1371300,174356000
2015-01-23,95.99986267089844,27.3126163482666,170.20767211914062,96.29450995776224,27.43733094831517,171.14603138850356,95.50264405713851,27.17899331977042,170.07480462294126,95.7788719370415,27.262135820099804,170.8885958630141,34783000,564600,117516800
2015-01-26,95.88934326171875,27.363088607788086,170.60617065429688,96.06429245925428,27.425445888969094,170.69751542519236,95.40133447379723,27.05130050277456,169.27753441601305,95.88934326171875,27.253219156207496,169.99168098730456,19960900,353700,92009700
2015-01-27,93.40328216552734,26.876108169555664,168.3558349609375,94.43454416707455,27.128507361652296,169.50178198222102,93.090215468668,26.70982150307129,167.52543232505212,94.37929999554751,27.01270121323071,168.5468240193283,45253200,1060800,134044600
2015-01-28,92.92447662353516,26.74842643737793,166.19679260253906,95.00542707426466,27.464053698559024,169.64295867138682,92.90606424120374,26.73060958212731,166.00580353315837,94.90414140907791,27.247286490633392,169.54331440404724,43591700,945900,168514300
2015-01-29,93.81761169433594,26.76624298095703,167.73306274414062,93.99256090795463,26.84938547264373,167.99048557958827,92.04051855187267,26.267382933510394,164.98441888809216,92.85079670584071,26.659343549806916,166.39611375631884,46539700,658200,173585400
2015-01-30,93.09021759033203,26.240659713745117,165.623779296875,94.45296572693697,26.81672391285188,167.88247515427264,92.96130983720063,26.202057657522953,165.3580570806183,93.7347633809347,26.46336532196518,166.55383873111552,42927600,1456200,197729700
2015-02-02,93.90047454833984,26.308944702148438,167.67486572265625,93.98334078247757,26.392088865677984,167.7662105014665,91.84714677262332,25.759606011039228,164.30343371173709,93.30197043255208,26.28815951082018,166.12201715381815,43624700,927300,163107000
2015-02-03,94.80287170410156,26.7751522064209,170.09963989257812,94.86732559053081,26.78702897739774,170.1079520267251,93.62428233799706,26.383189879334456,168.1980238005476,94.24119911166946,26.421791933672488,168.5717023800106,30750400,631200,124212900
2015-02-04,94.71997833251953,26.876108169555664,169.45196533203125,95.34610463224394,27.06615007410924,170.54810292890306,94.2043403636646,26.694974691666623,168.99524133333466,94.416121372739,26.703883118331152,169.33570946608478,34073200,1008000,134306700
2015-02-05,95.53945922851562,27.137413024902344,171.16258239746094,95.60391309177679,27.149291492281677,171.3120614565671,94.71997138493326,26.84047172972072,170.04154647338692,94.9593674342209,26.985973185243818,170.11627966747085,23605500,699000,97953200
